Wlgth(nm)	Air
270	1
271.536	1
273.072	1
274.608	1
276.144	1
277.679	1
279.215	1
280.751	1
282.287	1
283.823	1
285.359	1
286.895	1
288.431	1
289.967	1
291.503	1
293.038	1
294.574	1
296.11	1
297.646	1
299.182	1
300.718	1
302.254	1
303.79	1
305.326	1
306.861	1
308.397	1
309.933	1
311.469	1
313.005	1
314.541	1
316.077	1
317.613	1
319.149	1
320.684	1
322.22	1
323.756	1
325.292	1
326.828	1
328.364	1
329.9	1
331.436	1
332.972	1
334.508	1
336.043	1
337.579	1
339.115	1
340.651	1
342.187	1
343.723	1
345.259	1
346.795	1
348.331	1
349.866	1
351.402	1
352.938	1
354.474	1
356.01	1
357.546	1
359.082	1
360.618	1
362.154	1
363.689	1
365.225	1
366.761	1
368.297	1
369.833	1
371.369	1
372.905	1
374.441	1
375.977	1
377.513	1
379.048	1
380.584	1
382.12	1
383.656	1
385.192	1
386.728	1
388.264	1
389.8	1
391.336	1
392.871	1
394.407	1
395.943	1
397.479	1
399.015	1
400.551	1
402.087	1
403.623	1
405.159	1
406.694	1
408.23	1
409.766	1
411.302	1
412.838	1
414.374	1
415.91	1
417.446	1
418.982	1
420.518	1
422.053	1
423.589	1
425.125	1
426.661	1
428.197	1
429.733	1
431.269	1
432.805	1
434.341	1
435.876	1
437.412	1
438.948	1
440.484	1
442.02	1
443.556	1
445.092	1
446.628	1
448.164	1
449.699	1
451.235	1
452.771	1
454.307	1
455.843	1
457.379	1
458.915	1
460.451	1
461.987	1
463.523	1
465.058	1
466.594	1
468.13	1
469.666	1
471.202	1
472.738	1
474.274	1
475.81	1
477.346	1
478.881	1
480.417	1
481.953	1
483.489	1
485.025	1
486.561	1
488.097	1
489.633	1
491.169	1
492.705	1
494.24	1
495.776	1
497.312	1
498.848	1
500.384	1
501.92	1
503.456	1
504.992	1
506.528	1
508.063	1
509.599	1
511.135	1
512.671	1
514.207	1
515.743	1
517.279	1
518.815	1
520.351	1
521.886	1
523.422	1
524.958	1
526.494	1
528.03	1
529.566	1
531.102	1
532.638	1
534.174	1
535.71	1
537.245	1
538.781	1
540.317	1
541.853	1
543.389	1
544.925	1
546.461	1
547.997	1
549.533	1
551.068	1
552.604	1
554.14	1
555.676	1
557.212	1
558.748	1
560.284	1
561.82	1
563.356	1
564.891	1
566.427	1
567.963	1
569.499	1
571.035	1
572.571	1
574.107	1
575.643	1
577.179	1
578.715	1
580.25	1
581.786	1
583.322	1
584.858	1
586.394	1
587.93	1
589.466	1
591.002	1
592.538	1
594.073	1
595.609	1
597.145	1
598.681	1
600.217	1
601.753	1
603.289	1
604.825	1
606.361	1
607.896	1
609.432	1
610.968	1
612.504	1
614.04	1
615.576	1
617.112	1
618.648	1
620.184	1
621.72	1
623.255	1
624.791	1
626.327	1
627.863	1
629.399	1
630.935	1
632.471	1
634.007	1
635.543	1
637.078	1
638.614	1
640.15	1
641.686	1
643.222	1
644.758	1
646.294	1
647.83	1
649.366	1
650.902	1
652.437	1
653.973	1
655.509	1
657.045	1
658.581	1
660.117	1
661.653	1
663.189	1
664.725	1
666.26	1
667.796	1
669.332	1
670.868	1
672.404	1
673.94	1
675.476	1
677.012	1
678.548	1
680.083	1
681.619	1
683.155	1
684.691	1
686.227	1
687.763	1
689.299	1
690.835	1
692.371	1
693.907	1
695.442	1
696.978	1
698.514	1
700.05	1
701.586	1
703.122	1
704.658	1
706.194	1
707.73	1
709.265	1
710.801	1
712.337	1
713.873	1
715.409	1
716.945	1
718.481	1
720.017	1
721.553	1
723.088	1
724.624	1
726.16	1
727.696	1
729.232	1
730.768	1
732.304	1
733.84	1
735.376	1
736.912	1
738.447	1
739.983	1
741.519	1
743.055	1
744.591	1
746.127	1
747.663	1
749.199	1
750.735	1
752.27	1
753.806	1
755.342	1
756.878	1
758.414	1
759.95	1
761.486	1
763.022	1
764.558	1
766.093	1
767.629	1
769.165	1
770.701	1
772.237	1
773.773	1
775.309	1
776.845	1
778.381	1
779.917	1
781.452	1
782.988	1
784.524	1
786.06	1
787.596	1
789.132	1
790.668	1
792.204	1
793.74	1
795.275	1
796.811	1
798.347	1
799.883	1
801.419	1
802.955	1
804.491	1
806.027	1
807.563	1
809.098	1
810.634	1
812.17	1
813.706	1
815.242	1
816.778	1
818.314	1
819.85	1
821.386	1
822.922	1
824.457	1
825.993	1
827.529	1
829.065	1
830.601	1
832.137	1
833.673	1
835.209	1
836.745	1
838.28	1
839.816	1
841.352	1
842.888	1
844.424	1
845.96	1
847.496	1
849.032	1
850.568	1
852.104	1
853.639	1
855.175	1
856.711	1
858.247	1
859.783	1
861.319	1
862.855	1
864.391	1
865.927	1
867.462	1
868.998	1
870.534	1
872.07	1
873.606	1
875.142	1
876.678	1
878.214	1
879.75	1
881.285	1
882.821	1
884.357	1
885.893	1
887.429	1
888.965	1
890.501	1
892.037	1
893.573	1
895.109	1
896.644	1
898.18	1
899.716	1
901.252	1
902.788	1
904.324	1
905.86	1
907.396	1
908.932	1
910.467	1
912.003	1
913.539	1
915.075	1
916.611	1
918.147	1
919.683	1
921.219	1
922.755	1
924.29	1
925.826	1
927.362	1
928.898	1
930.434	1
931.97	1
933.506	1
935.042	1
936.578	1
938.114	1
939.649	1
941.185	1
942.721	1
944.257	1
945.793	1
947.329	1
948.865	1
950.401	1
951.937	1
953.472	1
955.008	1
956.544	1
958.08	1
959.616	1
961.152	1
962.688	1
964.224	1
965.76	1
967.295	1
968.831	1
970.367	1
971.903	1
973.439	1
974.975	1
976.511	1
978.047	1
979.583	1
981.119	1
982.654	1
984.19	1
985.726	1
987.262	1
988.798	1
990.334	1
991.87	1
993.406	1
994.942	1
996.477	1
998.013	1
999.549	1
1001.085	1
1002.621	1
1004.157	1
1005.693	1
1007.229	1
1008.765	1
1010.301	1
1011.836	1
1013.372	1
1014.908	1
1016.444	1
1017.98	1
1019.516	1
1021.052	1
1022.588	1
1024.124	1
1025.659	1
1027.195	1
1028.731	1
1030.267	1
1031.803	1
1033.339	1
1034.875	1
1036.411	1
1037.947	1
1039.482	1
1041.018	1
1042.554	1
1044.09	1
1045.626	1
1047.162	1
1048.698	1
1050.234	1
1051.77	1
1053.306	1
1054.841	1
1056.377	1
1057.913	1
1059.449	1
1060.985	1
1062.521	1
1064.057	1
1065.593	1
1067.129	1
1068.664	1
1070.2	1
1071.736	1
1073.272	1
1074.808	1
1076.344	1
1077.88	1
1079.416	1
1080.952	1
1082.487	1
1084.023	1
1085.559	1
1087.095	1
1088.631	1
1090.167	1
1091.703	1
1093.239	1
1094.775	1
1096.311	1
1097.846	1
1099.382	1
1100.918	1
1102.454	1
1103.99	1
1105.526	1
1107.062	1
1108.598	1
1110.134	1
1111.669	1
1113.205	1
1114.741	1
1116.277	1
1117.813	1
1119.349	1
1120.885	1
1122.421	1
1123.957	1
1125.492	1
1127.028	1
1128.564	1
1130.1	1
1131.636	1
1133.172	1
1134.708	1
1136.244	1
1137.78	1
1139.316	1
1140.851	1
1142.387	1
1143.923	1
1145.459	1
1146.995	1
1148.531	1
1150.067	1
1151.603	1
1153.139	1
1154.674	1
1156.21	1
1157.746	1
1159.282	1
1160.818	1
1162.354	1
1163.89	1
1165.426	1
1166.962	1
1168.497	1
1170.033	1
1171.569	1
1173.105	1
1174.641	1
1176.177	1
1177.713	1
1179.249	1
1180.785	1
1182.321	1
1183.856	1
1185.392	1
1186.928	1
1188.464	1
1190	1
