Wlgth(nm)	Re(n)Al2O3
270	1.762379
271.536	1.759575
273.072	1.756839
274.608	1.754168
276.144	1.751562
277.679	1.749018
279.215	1.746535
280.751	1.744109
282.287	1.741741
283.823	1.739428
285.359	1.737167
286.895	1.734959
288.431	1.732801
289.967	1.730692
291.503	1.728631
293.038	1.726615
294.574	1.724644
296.11	1.722717
297.646	1.720832
299.182	1.718988
300.718	1.717184
302.254	1.715419
303.79	1.713692
305.326	1.712001
306.861	1.710346
308.397	1.708726
309.933	1.70714
311.469	1.705587
313.005	1.704065
314.541	1.702575
316.077	1.701116
317.613	1.699686
319.149	1.698284
320.684	1.696911
322.22	1.695565
323.756	1.694246
325.292	1.692953
326.828	1.691685
328.364	1.690442
329.9	1.689223
331.436	1.688027
332.972	1.686855
334.508	1.685704
336.043	1.684575
337.579	1.683468
339.115	1.682381
340.651	1.681315
342.187	1.680268
343.723	1.679241
345.259	1.678232
346.795	1.677241
348.331	1.676269
349.866	1.675314
351.402	1.674376
352.938	1.673455
354.474	1.672551
356.01	1.671662
357.546	1.670788
359.082	1.66993
360.618	1.669087
362.154	1.668259
363.689	1.667444
365.225	1.666644
366.761	1.665857
368.297	1.665083
369.833	1.664323
371.369	1.663575
372.905	1.66284
374.441	1.662116
375.977	1.661405
377.513	1.660705
379.048	1.660017
380.584	1.65934
382.12	1.658674
383.656	1.658018
385.192	1.657373
386.728	1.656739
388.264	1.656114
389.8	1.655499
391.336	1.654894
392.871	1.654298
394.407	1.653712
395.943	1.653134
397.479	1.652566
399.015	1.652006
400.551	1.651454
402.087	1.650911
403.623	1.650377
405.159	1.64985
406.694	1.649331
408.23	1.64882
409.766	1.648316
411.302	1.64782
412.838	1.647331
414.374	1.646849
415.91	1.646374
417.446	1.645906
418.982	1.645445
420.518	1.64499
422.053	1.644542
423.589	1.644101
425.125	1.643665
426.661	1.643236
428.197	1.642812
429.733	1.642395
431.269	1.641983
432.805	1.641577
434.341	1.641177
435.876	1.640782
437.412	1.640392
438.948	1.640008
440.484	1.639629
442.02	1.639255
443.556	1.638886
445.092	1.638522
446.628	1.638163
448.164	1.637809
449.699	1.637459
451.235	1.637114
452.771	1.636773
454.307	1.636437
455.843	1.636105
457.379	1.635777
458.915	1.635454
460.451	1.635135
461.987	1.63482
463.523	1.634508
465.058	1.634201
466.594	1.633898
468.13	1.633598
469.666	1.633302
471.202	1.63301
472.738	1.632722
474.274	1.632437
475.81	1.632155
477.346	1.631877
478.881	1.631603
480.417	1.631331
481.953	1.631063
483.489	1.630798
485.025	1.630537
486.561	1.630278
488.097	1.630023
489.633	1.62977
491.169	1.629521
492.705	1.629274
494.24	1.629031
495.776	1.62879
497.312	1.628552
498.848	1.628317
500.384	1.628084
501.92	1.627854
503.456	1.627627
504.992	1.627403
506.528	1.62718
508.063	1.626961
509.599	1.626744
511.135	1.626529
512.671	1.626317
514.207	1.626107
515.743	1.625899
517.279	1.625694
518.815	1.625491
520.351	1.62529
521.886	1.625092
523.422	1.624895
524.958	1.624701
526.494	1.624509
528.03	1.624319
529.566	1.624131
531.102	1.623945
532.638	1.623761
534.174	1.623579
535.71	1.623398
537.245	1.62322
538.781	1.623044
540.317	1.622869
541.853	1.622697
543.389	1.622526
544.925	1.622356
546.461	1.622189
547.997	1.622023
549.533	1.621859
551.068	1.621697
552.604	1.621536
554.14	1.621377
555.676	1.62122
557.212	1.621064
558.748	1.62091
560.284	1.620757
561.82	1.620606
563.356	1.620456
564.891	1.620308
566.427	1.620161
567.963	1.620016
569.499	1.619872
571.035	1.61973
572.571	1.619589
574.107	1.619449
575.643	1.619311
577.179	1.619174
578.715	1.619038
580.25	1.618904
581.786	1.61877
583.322	1.618639
584.858	1.618508
586.394	1.618379
587.93	1.618251
589.466	1.618124
591.002	1.617998
592.538	1.617873
594.073	1.61775
595.609	1.617628
597.145	1.617507
598.681	1.617387
600.217	1.617268
601.753	1.61715
603.289	1.617033
604.825	1.616918
606.361	1.616803
607.896	1.616689
609.432	1.616577
610.968	1.616465
612.504	1.616355
614.04	1.616245
615.576	1.616137
617.112	1.616029
618.648	1.615922
620.184	1.615817
621.72	1.615712
623.255	1.615608
624.791	1.615505
626.327	1.615403
627.863	1.615302
629.399	1.615202
630.935	1.615102
632.471	1.615004
634.007	1.614906
635.543	1.614809
637.078	1.614713
638.614	1.614618
640.15	1.614523
641.686	1.61443
643.222	1.614337
644.758	1.614245
646.294	1.614154
647.83	1.614063
649.366	1.613973
650.902	1.613884
652.437	1.613796
653.973	1.613709
655.509	1.613622
657.045	1.613536
658.581	1.61345
660.117	1.613366
661.653	1.613282
663.189	1.613198
664.725	1.613116
666.26	1.613034
667.796	1.612952
669.332	1.612872
670.868	1.612792
672.404	1.612712
673.94	1.612634
675.476	1.612556
677.012	1.612478
678.548	1.612401
680.083	1.612325
681.619	1.612249
683.155	1.612174
684.691	1.6121
686.227	1.612026
687.763	1.611953
689.299	1.61188
690.835	1.611808
692.371	1.611736
693.907	1.611665
695.442	1.611594
696.978	1.611525
698.514	1.611455
700.05	1.611386
701.586	1.611318
703.122	1.61125
704.658	1.611182
706.194	1.611116
707.73	1.611049
709.265	1.610983
710.801	1.610918
712.337	1.610853
713.873	1.610789
715.409	1.610725
716.945	1.610661
718.481	1.610598
720.017	1.610536
721.553	1.610474
723.088	1.610412
724.624	1.610351
726.16	1.61029
727.696	1.61023
729.232	1.61017
730.768	1.610111
732.304	1.610052
733.84	1.609994
735.376	1.609935
736.912	1.609878
738.447	1.60982
739.983	1.609764
741.519	1.609707
743.055	1.609651
744.591	1.609595
746.127	1.60954
747.663	1.609485
749.199	1.609431
750.735	1.609377
752.27	1.609323
753.806	1.60927
755.342	1.609217
756.878	1.609164
758.414	1.609112
759.95	1.60906
761.486	1.609008
763.022	1.608957
764.558	1.608906
766.093	1.608856
767.629	1.608806
769.165	1.608756
770.701	1.608706
772.237	1.608657
773.773	1.608608
775.309	1.60856
776.845	1.608512
778.381	1.608464
779.917	1.608416
781.452	1.608369
782.988	1.608322
784.524	1.608276
786.06	1.60823
787.596	1.608184
789.132	1.608138
790.668	1.608093
792.204	1.608048
793.74	1.608003
795.275	1.607958
796.811	1.607914
798.347	1.60787
799.883	1.607827
801.419	1.607784
802.955	1.607741
804.491	1.607698
806.027	1.607655
807.563	1.607613
809.098	1.607571
810.634	1.60753
812.17	1.607488
813.706	1.607447
815.242	1.607406
816.778	1.607366
818.314	1.607325
819.85	1.607285
821.386	1.607245
822.922	1.607206
824.457	1.607166
825.993	1.607127
827.529	1.607088
829.065	1.60705
830.601	1.607011
832.137	1.606973
833.673	1.606935
835.209	1.606898
836.745	1.60686
838.28	1.606823
839.816	1.606786
841.352	1.606749
842.888	1.606713
844.424	1.606677
845.96	1.606641
847.496	1.606605
849.032	1.606569
850.568	1.606534
852.104	1.606498
853.639	1.606463
855.175	1.606429
856.711	1.606394
858.247	1.60636
859.783	1.606326
861.319	1.606292
862.855	1.606258
864.391	1.606224
865.927	1.606191
867.462	1.606158
868.998	1.606125
870.534	1.606092
872.07	1.606059
873.606	1.606027
875.142	1.605995
876.678	1.605963
878.214	1.605931
879.75	1.605899
881.285	1.605868
882.821	1.605837
884.357	1.605805
885.893	1.605775
887.429	1.605744
888.965	1.605713
890.501	1.605683
892.037	1.605653
893.573	1.605623
895.109	1.605593
896.644	1.605563
898.18	1.605534
899.716	1.605504
901.252	1.605475
902.788	1.605446
904.324	1.605417
905.86	1.605388
907.396	1.60536
908.932	1.605331
910.467	1.605303
912.003	1.605275
913.539	1.605247
915.075	1.605219
916.611	1.605192
918.147	1.605164
919.683	1.605137
921.219	1.60511
922.755	1.605083
924.29	1.605056
925.826	1.605029
927.362	1.605003
928.898	1.604976
930.434	1.60495
931.97	1.604924
933.506	1.604898
935.042	1.604872
936.578	1.604846
938.114	1.604821
939.649	1.604795
941.185	1.60477
942.721	1.604745
944.257	1.60472
945.793	1.604695
947.329	1.60467
948.865	1.604646
950.401	1.604621
951.937	1.604597
953.472	1.604573
955.008	1.604549
956.544	1.604525
958.08	1.604501
959.616	1.604477
961.152	1.604453
962.688	1.60443
964.224	1.604407
965.76	1.604383
967.295	1.60436
968.831	1.604337
970.367	1.604314
971.903	1.604292
973.439	1.604269
974.975	1.604246
976.511	1.604224
978.047	1.604202
979.583	1.60418
981.119	1.604157
982.654	1.604136
984.19	1.604114
985.726	1.604092
987.262	1.60407
988.798	1.604049
990.334	1.604027
991.87	1.604006
993.406	1.603985
994.942	1.603964
996.477	1.603943
998.013	1.603922
999.549	1.603901
1001.085	1.603881
1002.621	1.60386
1004.157	1.60384
1005.693	1.603819
1007.229	1.603799
1008.765	1.603779
1010.301	1.603759
1011.836	1.603739
1013.372	1.603719
1014.908	1.603699
1016.444	1.60368
1017.98	1.60366
1019.516	1.603641
1021.052	1.603621
1022.588	1.603602
1024.124	1.603583
1025.659	1.603564
1027.195	1.603545
1028.731	1.603526
1030.267	1.603507
1031.803	1.603488
1033.339	1.60347
1034.875	1.603451
1036.411	1.603433
1037.947	1.603414
1039.482	1.603396
1041.018	1.603378
1042.554	1.60336
1044.09	1.603342
1045.626	1.603324
1047.162	1.603306
1048.698	1.603288
1050.234	1.603271
1051.77	1.603253
1053.306	1.603236
1054.841	1.603218
1056.377	1.603201
1057.913	1.603184
1059.449	1.603167
1060.985	1.603149
1062.521	1.603132
1064.057	1.603115
1065.593	1.603099
1067.129	1.603082
1068.664	1.603065
1070.2	1.603049
1071.736	1.603032
1073.272	1.603016
1074.808	1.602999
1076.344	1.602983
1077.88	1.602967
1079.416	1.60295
1080.952	1.602934
1082.487	1.602918
1084.023	1.602902
1085.559	1.602887
1087.095	1.602871
1088.631	1.602855
1090.167	1.602839
1091.703	1.602824
1093.239	1.602808
1094.775	1.602793
1096.311	1.602777
1097.846	1.602762
1099.382	1.602747
1100.918	1.602732
1102.454	1.602717
1103.99	1.602702
1105.526	1.602687
1107.062	1.602672
1108.598	1.602657
1110.134	1.602642
1111.669	1.602627
1113.205	1.602613
1114.741	1.602598
1116.277	1.602584
1117.813	1.602569
1119.349	1.602555
1120.885	1.602541
1122.421	1.602526
1123.957	1.602512
1125.492	1.602498
1127.028	1.602484
1128.564	1.60247
1130.1	1.602456
1131.636	1.602442
1133.172	1.602428
1134.708	1.602415
1136.244	1.602401
1137.78	1.602387
1139.316	1.602374
1140.851	1.60236
1142.387	1.602347
1143.923	1.602333
1145.459	1.60232
1146.995	1.602307
1148.531	1.602293
1150.067	1.60228
1151.603	1.602267
1153.139	1.602254
1154.674	1.602241
1156.21	1.602228
1157.746	1.602215
1159.282	1.602202
1160.818	1.60219
1162.354	1.602177
1163.89	1.602164
1165.426	1.602152
1166.962	1.602139
1168.497	1.602126
1170.033	1.602114
1171.569	1.602102
1173.105	1.602089
1174.641	1.602077
1176.177	1.602065
1177.713	1.602052
1179.249	1.60204
1180.785	1.602028
1182.321	1.602016
1183.856	1.602004
1185.392	1.601992
1186.928	1.60198
1188.464	1.601968
1190	1.601957
