Wlgth(nm)	Re(n)N-BK7	OD(n)
290.000	1.556556	0.1200659
300.000	1.552770	0.0534617
310.000	1.549417	0.0241088
320.000	1.546429	1.135092748e-2
334.000	1.542759	4.335142079e-3
350.000	1.539166	1.448486906e-3
365.000	1.536270	5.112308037e-4
370.000	1.535390	3.926345515e-4
380.000	1.533745	3.155404885e-4
390.000	1.532236	1.921483361e-4
400.000	1.530849	1.395331138e-4
405.000	1.530196	1.220300602e-4
420.000	1.528385	1.220300602e-4
436.000	1.526668	1.395331138e-4
460.000	1.524433	1.220300602e-4
500.000	1.521414	1.045446241e-4
546.000	1.518726	6.962646305e-5
580.000	1.517122	6.962646305e-5
620.000	1.515539	8.707677017e-5
660.000	1.514207	8.707677017e-5
700.000	1.513064	6.962646305e-5
1060.000	1.506688	5.219366753e-5
1530.000	1.500902	3.509569723e-4
1970.000	1.494950	3.011835625e-3
2325.000	1.489219	1.007268127e-2
2500.000	1.486018	1.771783547e-2
