Wlgth(nm)	Re(n)SiO2yura	Wlgth	Im(n)
350	1.524863	350	0
360	1.517171	360	0
370	1.510476	370	0
380	1.504628	380	0
390	1.499501	390	0
400	1.494991	400	0
410	1.491011	410	0
420	1.487489	420	0
430	1.484362	430	0
440	1.481578	440	0
450	1.479093	450	0
460	1.47687	460	0
470	1.474876	470	0
480	1.473083	480	0
490	1.471467	490	0
500	1.470008	500	0
510	1.468688	510	0
520	1.467492	520	0
530	1.466405	530	0
540	1.465416	540	0
550	1.464514	550	0
560	1.463691	560	0
570	1.462938	570	0
580	1.462248	580	0
590	1.461616	590	0
600	1.461035	600	0
610	1.4605	610	0
620	1.460007	620	0
630	1.459553	630	0
640	1.459133	640	0
650	1.458745	650	0
660	1.458385	660	0
670	1.458052	670	0
680	1.457742	680	0
690	1.457455	690	0
700	1.457188	700	0
710	1.456939	710	0
720	1.456707	720	0
730	1.456491	730	0
740	1.456289	740	0
750	1.4561	750	0
760	1.455923	760	0
770	1.455758	770	0
780	1.455603	780	0
790	1.455457	790	0
800	1.455321	800	0
810	1.455193	810	0
820	1.455072	820	0
830	1.454959	830	0
840	1.454852	840	0
850	1.454751	850	0
860	1.454656	860	0
870	1.454567	870	0
880	1.454482	880	0
890	1.454403	890	0
900	1.454327	900	0
910	1.454256	910	0
920	1.454188	920	0
930	1.454124	930	0
940	1.454064	940	0
950	1.454006	950	0
960	1.453951	960	0
970	1.4539	970	0
980	1.453851	980	0
990	1.453804	990	0
1000	1.453759	1000	0
1010	1.453717	1010	0
1020	1.453677	1020	0
1030	1.453639	1030	0
1040	1.453602	1040	0
1050	1.453567	1050	0
1060	1.453534	1060	0
1070	1.453502	1070	0
1080	1.453472	1080	0
1090	1.453443	1090	0
1100	1.453416	1100	0
