Wlgth(nm)	Re(n)TiO2
350	2.807026
360	2.754616
370	2.708658
380	2.668202
390	2.632456
400	2.600761
410	2.572562
420	2.547395
430	2.524865
440	2.504637
450	2.486426
460	2.469987
470	2.45511
480	2.441613
490	2.429341
500	2.418157
510	2.407943
520	2.398596
530	2.390024
540	2.382149
550	2.374901
560	2.368218
570	2.362045
580	2.356334
590	2.351043
600	2.346132
610	2.341568
620	2.33732
630	2.333361
640	2.329666
650	2.326213
660	2.322982
670	2.319956
680	2.317117
690	2.314452
700	2.311946
710	2.309588
720	2.307367
730	2.305273
740	2.303296
750	2.301428
760	2.299662
770	2.29799
780	2.296406
790	2.294904
800	2.293479
810	2.292126
820	2.290839
830	2.289616
840	2.288451
850	2.287341
860	2.286283
870	2.285274
880	2.284311
890	2.28339
900	2.282511
910	2.28167
920	2.280865
930	2.280094
940	2.279355
950	2.278647
960	2.277968
970	2.277316
980	2.27669
990	2.276088
1000	2.27551
1010	2.274954
1020	2.274419
1030	2.273904
1040	2.273408
1050	2.27293
1060	2.272469
1070	2.272025
1080	2.271597
1090	2.271183
1100	2.270783
